,names,companies,car_births,car_types,car_prices_1,car_prices_2,fuel_efficiencies,fuels,images
0,2022 캐스퍼,현대,국산차,경형,1385.0,1960.0,12.3~14.3km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210901_195/auto_163045763221657AiV_PNG/20210901095324_65Cye5HC.png?type=f160_116
1,2022 GV60,제네시스,국산차,준중형,5990.0,7040.0,4.1~5.1km/kWh,전기,https://imgauto-phinf.pstatic.net/20210930_59/auto_1632972020634VY33G_PNG/20210930122017_unKnOest.png?type=f160_116
2,2022 EV6,기아,국산차,준중형,4630.0,5980.0,4.6~5.6km/kWh,전기,https://imgauto-phinf.pstatic.net/20210331_251/auto_1617151412017aCxpE_PNG/20210331094328_iHjfnzpl.png?type=f160_116
3,2022 GV80,제네시스,국산차,준대형,6136.0,7056.0,8.0~11.8km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210830_75/auto_1630286585462aXVk8_PNG/20210830102254_UmdESY5U.png?type=f160_116
4,2022 스포티지 하이브리드,기아,국산차,준중형,3109.0,3916.0,15.2~16.7km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210720_2/auto_1626745439427je1Hj_PNG/20210720104356_VBogd3fW.png?type=f160_116
5,2021 GV70,제네시스,국산차,중형,4791.0,5724.0,8.5~13.5km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20201208_104/auto_1607391617511Vx54E_PNG/20201208104013_Rj7kd6MG.png?type=f160_116
6,2020 아반떼,현대,국산차,준중형,1570.0,2779.0,10.5~15.4km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20200407_287/auto_1586224652431bUq6f_PNG/20200407105728_c9QG5Lkd.png?type=f160_116
7,2022 셀토스,기아,국산차,소형,1944.0,2930.0,10.9~17.1km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210722_200/auto_1626915050553UEENg_PNG/20210722094910_MBPYF3If.png?type=f160_116
8,2022 G80,제네시스,국산차,준대형,5311.0,6251.0,8.4~14.6km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210621_179/auto_1624263275728ogdFr_PNG/20210621171434_vmUcokpH.png?type=f160_116
9,2022 스포티지,기아,국산차,준중형,2422.0,3731.0,11.1~14.6km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210706_146/auto_1625534646734zB9he_PNG/20210706102403_S4NwJzs4.png?type=f160_116
10,2022 카니발,기아,국산차,대형,3180.0,4381.0,8.9~13.1km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210712_252/auto_1626061998763bsOjh_PNG/20210712125308_DWknO2Ak.png?type=f160_116
11,2022 베뉴,현대,국산차,소형,1689.0,2236.0,13.3~13.7km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210708_185/auto_1625727297452FYAA0_PNG/20210708155442_CPvewnAs.png?type=f160_116
12,2021 그랜저,현대,국산차,준대형,3182.0,4388.0,7.4~11.9km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20210511_131/auto_1620704669914k7Gkl_PNG/20210511124238_Yo6bIqLr.png?type=f160_116
13,2022 스팅어,기아,국산차,중형,3878.0,5006.0,8.5~11.2km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210906_154/auto_1630896140653Er0L7_PNG/20210906114208_a6EehRZi.png?type=f160_116
14,2022 쏘렌토 하이브리드,기아,국산차,중형,3515.0,4546.0,13.2~15.3km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210819_274/auto_1629336482214IQuxd_PNG/20210819102748_CUJIkpG2.png?type=f160_116
15,2021 아이오닉 5,현대,국산차,준중형,4695.0,5755.0,4.5~5.1km/kWh,전기,https://imgauto-phinf.pstatic.net/20210602_34/auto_1622623687340ICBCd_PNG/20210602174804_IvlK86is.png?type=f160_116
16,2021 G70,제네시스,국산차,중형,4035.0,4830.0,8.9~14.9km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20201020_181/auto_1603154964560V68ob_PNG/20201020094920_BYB5YTiL.png?type=f160_116
17,2021 투싼,현대,국산차,준중형,2435.0,3696.0,11.0~14.8km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200917_139/auto_1600330991366jiUjg_PNG/20200917172308_oXaK71Hw.png?type=f160_116
18,2020 팰리세이드,현대,국산차,준대형,3573.0,5563.0,8.9~12.1km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200506_229/auto_1588727219699FW5rL_PNG/20200506100647_lPajgN1s.png?type=f160_116
19,2022 레이,기아,국산차,경형,1275.0,1580.0,12.7~13.0km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210705_117/auto_1625460707877OIULa_PNG/20210705135124_dgR8ELMY.png?type=f160_116
20,2022 QM6,르노삼성,국산차,중형,2465.0,3908.0,8.6~12.5km/ℓ,"디젤,가솔린,LPG",https://imgauto-phinf.pstatic.net/20210903_96/auto_1630633625545TlDlR_PNG/20210903104703_VV5lCkXg.png?type=f160_116
21,2022 쏘렌토,기아,국산차,중형,2958.0,4273.0,9.7~14.3km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210705_287/auto_1625445371277N0B99_PNG/20210705093459_h5ew15Q8.png?type=f160_116
22,2022 니로 하이브리드,기아,국산차,소형,2439.0,3017.0,17.1~19.5km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210604_294/auto_162277636678023qbI_PNG/20210604121220_JSZe96m6.png?type=f160_116
